"Item_Number","Name","Year","Theme","Subtheme","Pieces","Minifigures","Image_URL","GBP_MSRP","USD_MSRP","CAD_MSRP","EUR_MSRP","Packaging","Availability"
"10591","Fire Boat",2015,"Duplo","Fire",19,NA,"http://images.brickset.com/sets/images/10591-1.jpg",12.99,14.99,14.99,14.99,"Box","Retail"
"10592","Fire Truck",2015,"Duplo","Fire",26,NA,"http://images.brickset.com/sets/images/10592-1.jpg",19.99,24.99,29.99,24.99,"Box","Retail"
"10593","Fire Station",2015,"Duplo","Fire",105,NA,"http://images.brickset.com/sets/images/10593-1.jpg",44.99,49.99,59.99,59.99,"Box","Retail"
"10594","Sofia the First Royal Stable",2015,"Duplo","",38,1,"http://images.brickset.com/sets/images/10594-1.jpg",19.99,24.99,29.99,24.99,"Box","Retail"
"10595","Sofia the First Royal Castle",2015,"Duplo","",87,2,"http://images.brickset.com/sets/images/10595-1.jpg",39.99,49.99,49.99,49.99,"Box","Retail"
"10596","Disney Princess Collection",2015,"Duplo","Disney Princess",63,NA,"http://images.brickset.com/sets/images/10596-1.jpg",34.99,39.99,44.99,39.99,"Box","Retail"
"10597","Mickey & Minnie Birthday Parade",2015,"Duplo","",24,NA,"http://images.brickset.com/sets/images/10597-1.jpg",19.99,24.99,29.99,24.99,"Box","Retail"
"10599","Batman Adventure",2015,"Duplo","",47,NA,"http://images.brickset.com/sets/images/10599-1.jpg",29.99,39.99,39.99,39.99,"Box","Retail"
"10600","Classic Race",2015,"Duplo","Cars",29,NA,"http://images.brickset.com/sets/images/10600-1.jpg",20.99,24.99,29.99,24.99,"Box","Retail"
"10601","Delivery Vehicle",2015,"Duplo","",19,NA,"http://images.brickset.com/sets/images/10601-1.jpg",14.99,19.99,19.99,19.99,"Box","Retail"
"10602","Camping",2015,"Duplo","",38,NA,"http://images.brickset.com/sets/images/10602-1.jpg",24.99,29.99,29.99,29.99,"Box","Retail"
"10603","My First Bus",2015,"Duplo","",17,1,"http://images.brickset.com/sets/images/10603-1.jpg",12.99,14.99,14.99,14.99,"Box","Retail"
"10604","Jake and the Never Land Pirates Treasure Island",2015,"Duplo","",25,NA,"http://images.brickset.com/sets/images/10604-1.jpg",16.99,19.99,19.99,19.99,"Box","Retail"
"10605","Doc McStuffins Rosie the Ambulance",2015,"Duplo","",16,NA,"http://images.brickset.com/sets/images/10605-1.jpg",16.99,19.99,24.99,19.99,"Box","Retail"
"10606","Doc McStuffins Backyard Clinic",2015,"Duplo","",39,NA,"http://images.brickset.com/sets/images/10606-1.jpg",19.99,29.99,34.99,34.99,"Box","Retail"
"10607","Spider-man 1",2015,"Duplo","",NA,NA,"http://images.brickset.com/sets/images/10607-1.jpg",NA,14.99,NA,NA,"Not specified","Not specified"
"10608","Spider-man 2",2015,"Duplo","",NA,NA,"http://images.brickset.com/sets/images/10608-1.jpg",NA,29.99,NA,NA,"Not specified","Not specified"
"10615","My First Tractor",2015,"Duplo","",12,2,"http://images.brickset.com/sets/images/10615-1.jpg",9.99,14.99,14.99,14.99,"Box","Retail"
"10616","My First Playhouse",2015,"Duplo","",25,2,"http://images.brickset.com/sets/images/10616-1.jpg",14.99,19.99,19.99,19.99,"Box","Retail"
"10617","My First Farm",2015,"Duplo","",26,2,"http://images.brickset.com/sets/images/10617-1.jpg",14.99,19.99,19.99,19.99,"Box","Retail"
"10618","Creative Building Box",2015,"Duplo","",70,2,"http://images.brickset.com/sets/images/10618-1.jpg",19.99,24.99,NA,24.99,"Box","Retail"
"10622","Large Creative Box",2015,"Duplo","",193,NA,"http://images.brickset.com/sets/images/10622-1.jpg",49.99,59.99,NA,59.99,"Box","Retail"
"10677","Beach Trip",2015,"Juniors","",74,1,"http://images.brickset.com/sets/images/10677-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"10679","Pirate Treasure Hunt",2015,"Juniors","Pirates",57,2,"http://images.brickset.com/sets/images/10679-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"10680","Garbage Truck",2015,"Juniors","",99,2,"http://images.brickset.com/sets/images/10680-1.jpg",15.99,19.99,24.99,19.99,"Box","Retail"
"10683","Road Work Truck",2015,"Juniors","",132,2,"http://images.brickset.com/sets/images/10683-1.jpg",15.99,19.99,24.99,19.99,"Box","Retail"
"10684","Supermarket Suitcase",2015,"Juniors","",134,2,"http://images.brickset.com/sets/images/10684-1.jpg",19.99,19.99,29.99,24.99,"Other","Retail"
"10685","Fire Suitcase",2015,"Juniors","",113,2,"http://images.brickset.com/sets/images/10685-1.jpg",19.99,19.99,29.99,24.99,"Other","Retail"
"10686","Family House",2015,"Juniors","",226,3,"http://images.brickset.com/sets/images/10686-1.jpg",24.99,29.99,39.99,34.99,"Box","Retail"
"10687","Spider-Man Hideout",2015,"Juniors","",137,NA,"http://images.brickset.com/sets/images/10687-1.jpg",29.99,29.99,29.99,34.99,"Box","Retail"
"10692","Creative Bricks",2015,"Classic","",221,NA,"http://images.brickset.com/sets/images/10692-1.jpg",12.99,16.99,19.99,14.99,"Box","Retail"
"10693","Creative Supplement",2015,"Classic","",303,NA,"http://images.brickset.com/sets/images/10693-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"10694","Creative Supplement Bright",2015,"Classic","",303,NA,"http://images.brickset.com/sets/images/10694-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"10695","Creative Building Box",2015,"Classic","",580,NA,"http://images.brickset.com/sets/images/10695-1.jpg",19.99,24.99,NA,24.99,"Box","Retail"
"10696","Medium Creative Brick Box",2015,"Classic","",484,NA,"http://images.brickset.com/sets/images/10696-1.jpg",24.99,34.99,34.99,29.99,"Tub","Retail"
"10697","XXXL Box",2015,"Classic","",1500,NA,"http://images.brickset.com/sets/images/10697-1.jpg",49.99,59.99,NA,59.99,"Box","Retail - limited"
"10698","Large Creative Brick Box",2015,"Classic","",790,NA,"http://images.brickset.com/sets/images/10698-1.jpg",34.99,59.99,59.99,44.99,"Box","Retail"
"10699","32x32 Sand Baseplate",2015,"Classic","",1,NA,"http://images.brickset.com/sets/images/10699-1.jpg",6.99,7.99,9.99,7.99,"Other","Retail"
"10700","32x32 Green Baseplate",2015,"Classic","",1,NA,"http://images.brickset.com/sets/images/10700-1.jpg",6.99,7.99,9.99,7.99,"Other","Retail"
"10701","48x48 Grey Baseplate",2015,"Classic","",1,NA,"http://images.brickset.com/sets/images/10701-1.jpg",12.99,14.99,17.99,14.99,"Other","Retail"
"21022","Lincoln Memorial",2015,"Architecture","Landmark Series",274,NA,"http://images.brickset.com/sets/images/21022-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail - limited"
"21023","Flatiron Building, New York",2015,"Architecture","Landmark Series",471,NA,"http://images.brickset.com/sets/images/21023-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail - limited"
"21024","Louvre",2015,"Architecture","",695,NA,"http://images.brickset.com/sets/images/21024-1.jpg",44.99,59.99,74.99,59.99,"Box","Retail - limited"
"21119","The Dungeon",2015,"Minecraft","",219,3,"http://images.brickset.com/sets/images/21119-1.jpg",19.99,19.99,24.99,19.99,"Box","Retail"
"21120","The Snow Hideout",2015,"Minecraft","",327,3,"http://images.brickset.com/sets/images/21120-1.jpg",39.99,34.99,44.99,39.99,"Box","Retail"
"21121","The Desert Outpost",2015,"Minecraft","",519,4,"http://images.brickset.com/sets/images/21121-1.jpg",59.99,59.99,74.99,69.99,"Box","Retail"
"21122","The Nether Fortress",2015,"Minecraft","",571,4,"http://images.brickset.com/sets/images/21122-1.jpg",69.99,79.99,99.99,89.99,"Box","Retail"
"21301","Birds",2015,"Ideas","",580,NA,"http://images.brickset.com/sets/images/21301-1.jpg",39.99,44.99,59.99,44.99,"Box","Retail - limited"
"21302","The Big Bang Theory",2015,"Ideas","",484,7,"http://images.brickset.com/sets/images/21302-1.jpg",49.99,59.99,69.99,59.99,"Box","Retail - limited"
"21303","WALL-E",2015,"Ideas","",677,NA,"http://images.brickset.com/sets/images/21303-1.jpg",39.99,NA,NA,49.99,"Box","Retail - limited"
"30202","Smoothie Stand",2015,"Friends","",37,1,"http://images.brickset.com/sets/images/30202-1.jpg",3.99,NA,NA,3.99,"Polybag","Retail - limited"
"30204","Wish Fountain",2015,"Friends","",44,1,"http://images.brickset.com/sets/images/30204-1.jpg",NA,3.99,NA,3.99,"Polybag","Retail - limited"
"30256","Ice Bear Mech",2015,"Legends of Chima","",39,1,"http://images.brickset.com/sets/images/30256-1.jpg",NA,3.99,NA,NA,"Polybag","Retail - limited"
"30272","A-Wing Starfighter",2015,"Star Wars","",58,NA,"http://images.brickset.com/sets/images/30272-1.jpg",NA,NA,NA,3.99,"Polybag","Retail - limited"
"30274","AT-DP",2015,"Star Wars","",65,NA,"http://images.brickset.com/sets/images/30274-1.jpg",NA,NA,NA,3.99,"Polybag","Retail - limited"
"30275","TIE Advanced Prototype",2015,"Star Wars","Mini Building Set",47,NA,"http://images.brickset.com/sets/images/30275-1.jpg",NA,NA,NA,0,"Polybag","Promotional"
"30283","Off-Road",2015,"Creator","",43,NA,"http://images.brickset.com/sets/images/30283-1.jpg",NA,NA,NA,3.99,"Polybag","Retail - limited"
"30285","Tiger",2015,"Creator","",73,NA,"http://images.brickset.com/sets/images/30285-1.jpg",NA,3.99,NA,3.99,"Polybag","Retail - limited"
"30291","Anacondrai Battle Mech",2015,"Ninjago","",43,1,"http://images.brickset.com/sets/images/30291-1.jpg",NA,NA,NA,3.99,"Polybag","Retail - limited"
"30292","Jay Nano Mech",2015,"Ninjago","",54,1,"http://images.brickset.com/sets/images/30292-1.jpg",NA,NA,NA,3.99,"Polybag","Retail - limited"
"30303","The Joker Bumper Car",2015,"DC Comics Super Heroes","",47,1,"http://images.brickset.com/sets/images/30303-1.jpg",NA,3.99,NA,NA,"Polybag","Retail - limited"
"30311","Swamp Police Helicopter",2015,"City","Swamp Police",51,1,"http://images.brickset.com/sets/images/30311-1.jpg",NA,3.49,NA,3.99,"Polybag","Retail - limited"
"30313","Garbage Truck",2015,"City","",48,1,"http://images.brickset.com/sets/images/30313-1.jpg",NA,3.49,NA,NA,"Polybag","Retail - limited"
"30314","Go-Kart Racer",2015,"City","",45,1,"http://images.brickset.com/sets/images/30314-1.jpg",NA,NA,NA,3.99,"Polybag","Retail - limited"
"30315","Space Utility Vehicle",2015,"City","Space Port",37,1,"http://images.brickset.com/sets/images/30315-1.jpg",NA,3.99,NA,NA,"Polybag","Retail - limited"
"31027","Blue Racer",2015,"Creator","",67,NA,"http://images.brickset.com/sets/images/31027-1.jpg",4.99,4.99,6.99,4.99,"Box","Retail"
"31028","Sea Plane",2015,"Creator","",53,NA,"http://images.brickset.com/sets/images/31028-1.jpg",4.99,4.99,6.99,4.99,"Box","Retail"
"31029","Cargo Heli",2015,"Creator","",132,NA,"http://images.brickset.com/sets/images/31029-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"31030","Red Go-Kart",2015,"Creator","",106,NA,"http://images.brickset.com/sets/images/31030-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"31031","Rainforest Animals",2015,"Creator","",215,NA,"http://images.brickset.com/sets/images/31031-1.jpg",12.99,14.99,19.99,14.99,"Box","Retail"
"31032","Red Creatures",2015,"Creator","",221,NA,"http://images.brickset.com/sets/images/31032-1.jpg",12.99,14.99,19.99,14.99,"Box","Retail"
"31033","Vehicle Transporter",2015,"Creator","",264,NA,"http://images.brickset.com/sets/images/31033-1.jpg",17.99,24.99,29.99,19.99,"Box","Retail"
"31034","Future Flyer",2015,"Creator","",237,NA,"http://images.brickset.com/sets/images/31034-1.jpg",17.99,24.99,29.99,19.99,"Box","Retail"
"31035","Beach Hut",2015,"Creator","",286,2,"http://images.brickset.com/sets/images/31035-1.jpg",19.99,29.99,39.99,24.99,"Box","Retail"
"31036","Toy & Grocery Shop",2015,"Creator","",466,2,"http://images.brickset.com/sets/images/31036-1.jpg",34.99,39.99,49.99,34.99,"Box","Retail"
"31037","Adventure Vehicles",2015,"Creator","",282,NA,"http://images.brickset.com/sets/images/31037-1.jpg",17.99,24.99,29.99,19.99,"Box","Retail"
"31038","Changing Seasons",2015,"Creator","",536,2,"http://images.brickset.com/sets/images/31038-1.jpg",39.99,49.99,59.99,49.99,"Box","Retail"
"31039","Blue Power Jet",2015,"Creator","",608,NA,"http://images.brickset.com/sets/images/31039-1.jpg",49.99,69.99,89.99,54.99,"Box","Retail"
"40120","Valentine's Day Dinner",2015,"Seasonal","Valentines",114,2,"http://images.brickset.com/sets/images/40120-1.jpg",8.49,9.99,11.99,9.99,"Box","LEGO exclusive"
"40121","Painting Easter Eggs",2015,"Seasonal","Easter",153,2,"http://images.brickset.com/sets/images/40121-1.jpg",8.49,9.99,11.99,9.99,"Box","LEGO exclusive"
"40122","Trick or Treat Halloween Set",2015,"Seasonal","Halloween",133,NA,"http://images.brickset.com/sets/images/40122-1.jpg",8.49,9.99,11.99,9.99,"Box","LEGO exclusive"
"40140","Flower Cart",2015,"Creator","",71,1,"http://images.brickset.com/sets/images/40140-1.jpg",0.01,4.99,NA,0.01,"Polybag","LEGO exclusive"
"40153","Birthday Cake",2015,"Miscellaneous","",120,NA,"http://images.brickset.com/sets/images/40153-1.jpg",6.99,9.99,11.99,7.99,"Box","LEGO exclusive"
"40154","Iconic Pencil Pot",2015,"Creator","",174,2,"http://images.brickset.com/sets/images/40154-1.jpg",10.99,14.99,17.99,12.99,"Box","LEGO exclusive"
"40155","Piggy Coin Bank",2015,"Miscellaneous","",148,NA,"http://images.brickset.com/sets/images/40155-1.jpg",10.99,14.99,17.99,12.99,"Box","LEGO exclusive"
"40156","Organiser",2015,"Friends","",171,NA,"http://images.brickset.com/sets/images/40156-1.jpg",12.99,16.99,21.99,14.99,"Box","LEGO exclusive"
"40158","Pirates Chess Set",2015,"Pirates","",857,20,"http://images.brickset.com/sets/images/40158-1.jpg",45.99,59.99,74.99,54.99,"Box","LEGO exclusive"
"41060","Sleeping Beauty's Royal Bedroom",2015,"Disney Princess","Sleeping Beauty",96,1,"http://images.brickset.com/sets/images/41060-1.jpg",11.99,12.99,15.99,12.99,"Box","Retail"
"41061","Jasmine's Exotic Palace",2015,"Disney Princess","Aladdin",143,1,"http://images.brickset.com/sets/images/41061-1.jpg",19.99,19.99,24.99,24.99,"Box","Retail"
"41062","Elsa's Sparkling Ice Castle",2015,"Disney Princess","Frozen",292,3,"http://images.brickset.com/sets/images/41062-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail"
"41063","Ariel's Undersea Palace",2015,"Disney Princess","The Little Mermaid",379,2,"http://images.brickset.com/sets/images/41063-1.jpg",49.99,54.99,69.99,59.99,"Box","Retail"
"41071","Aira's Creative Workshop",2015,"Elves","",98,1,"http://images.brickset.com/sets/images/41071-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41072","Naida's Spa Secret",2015,"Elves","",249,1,"http://images.brickset.com/sets/images/41072-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"41073","Naida's Epic Adventure Ship",2015,"Elves","",312,2,"http://images.brickset.com/sets/images/41073-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41074","Azari and the Magical Bakery",2015,"Elves","",324,2,"http://images.brickset.com/sets/images/41074-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41075","The Elves' Treetop Hideaway",2015,"Elves","",505,3,"http://images.brickset.com/sets/images/41075-1.jpg",39.99,49.99,59.99,49.99,"Box","Retail"
"41076","Farran and the Crystal Hollow",2015,"Elves","",175,1,"http://images.brickset.com/sets/images/41076-1.jpg",12.99,14.99,17.99,14.99,"Box","Retail"
"41077","Aira's Pegasus Sleigh",2015,"Elves","",319,2,"http://images.brickset.com/sets/images/41077-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail"
"41078","Skyra's Mysterious Sky Castle",2015,"Elves","",808,3,"http://images.brickset.com/sets/images/41078-1.jpg",74.99,79.99,99.99,89.99,"Box","Retail"
"41085","Vet Clinic",2015,"Friends","",192,1,"http://images.brickset.com/sets/images/41085-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"41086","Vet Ambulance",2015,"Friends","",89,1,"http://images.brickset.com/sets/images/41086-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41087","Bunny & Babies",2015,"Friends","",47,NA,"http://images.brickset.com/sets/images/41087-1.jpg",3.99,4.99,7.99,4.99,"Box","Retail"
"41088","Puppy Training",2015,"Friends","",65,NA,"http://images.brickset.com/sets/images/41088-1.jpg",3.99,4.99,7.99,4.99,"Box","Retail"
"41089","Little Foal",2015,"Friends","",43,NA,"http://images.brickset.com/sets/images/41089-1.jpg",3.99,4.99,7.99,4.99,"Box","Retail"
"41090","Olivia's Garden Pool",2015,"Friends","",82,1,"http://images.brickset.com/sets/images/41090-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41091","Mia's Roadster",2015,"Friends","",187,1,"http://images.brickset.com/sets/images/41091-1.jpg",12.99,14.99,17.99,14.99,"Box","Retail"
"41092","Stephanie's Pizzeria",2015,"Friends","",87,1,"http://images.brickset.com/sets/images/41092-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41093","Heartlake Hair Salon",2015,"Friends","",318,2,"http://images.brickset.com/sets/images/41093-1.jpg",24.99,29.99,39.99,32.99,"Box","Retail"
"41094","Heartlake Lighthouse",2015,"Friends","",473,2,"http://images.brickset.com/sets/images/41094-1.jpg",39.99,39.99,49.99,39.99,"Box","Retail"
"41095","Emma's House",2015,"Friends","",706,3,"http://images.brickset.com/sets/images/41095-1.jpg",59.99,69.99,89.99,69.99,"Box","Retail"
"41097","Heartlake Hot Air Balloon",2015,"Friends","",254,2,"http://images.brickset.com/sets/images/41097-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41098","Emma's Tourist Kiosk",2015,"Friends","",98,1,"http://images.brickset.com/sets/images/41098-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"41099","Heartlake Skate Park",2015,"Friends","",199,1,"http://images.brickset.com/sets/images/41099-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"41100","Heartlake Private Jet",2015,"Friends","",230,2,"http://images.brickset.com/sets/images/41100-1.jpg",19.99,29.99,39.99,24.99,"Box","Retail"
"41101","Heartlake Grand Hotel",2015,"Friends","",1552,5,"http://images.brickset.com/sets/images/41101-1.jpg",99.99,129.99,159.99,129.99,"Box","Retail"
"41102","Friends Advent Calendar",2015,"Friends","Seasonal",233,NA,"http://images.brickset.com/sets/images/41102-1.jpg",19.99,29.99,39.99,19.99,"Box","Retail"
"41103","Pop Star Recording Studio",2015,"Friends","",172,1,"http://images.brickset.com/sets/images/41103-1.jpg",12.99,14.99,17.99,14.99,"Box","Retail"
"41104","Pop Star Dressing Room",2015,"Friends","",279,2,"http://images.brickset.com/sets/images/41104-1.jpg",24.99,29.99,39.99,29.99,"Box","Retail"
"41105","Pop Star Show Stage",2015,"Friends","",446,2,"http://images.brickset.com/sets/images/41105-1.jpg",34.99,39.99,49.99,44.99,"Box","Retail"
"41106","Pop Star Tour Bus",2015,"Friends","",682,3,"http://images.brickset.com/sets/images/41106-1.jpg",49.99,59.99,69.99,59.99,"Box","Retail"
"41107","Pop Star Limousine",2015,"Friends","",265,2,"http://images.brickset.com/sets/images/41107-1.jpg",19.99,24.99,29.99,24.99,"Box","Retail"
"41108","Heartlake Food Market",2015,"Friends","",388,2,"http://images.brickset.com/sets/images/41108-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail"
"41109","Heartlake City Airport",2015,"Friends","",692,3,"http://images.brickset.com/sets/images/41109-1.jpg",74.99,89.99,119.99,89.99,"Box","Retail - limited"
"41527","Rokit",2015,"Mixels","Series 4",66,NA,"http://images.brickset.com/sets/images/41527-1.jpg",2.99,4.99,5.99,2.79,"Foil pack","Retail"
"41528","Niksput",2015,"Mixels","Series 4",62,NA,"http://images.brickset.com/sets/images/41528-1.jpg",2.99,4.99,5.99,1.99,"Foil pack","Retail"
"41529","Nurp-Naut",2015,"Mixels","Series 4",52,NA,"http://images.brickset.com/sets/images/41529-1.jpg",2.99,4.99,5.99,1.99,"Foil pack","Retail"
"41530","Meltus",2015,"Mixels","Series 4",66,NA,"http://images.brickset.com/sets/images/41530-1.jpg",2.99,4.99,5.99,2.79,"Foil pack","Retail"
"41531","Flamzer",2015,"Mixels","Series 4",60,NA,"http://images.brickset.com/sets/images/41531-1.jpg",2.99,4.99,5.99,2.79,"Foil pack","Retail"
"41532","Burnard",2015,"Mixels","Series 4",59,NA,"http://images.brickset.com/sets/images/41532-1.jpg",2.99,4.99,5.99,2.79,"Foil pack","Retail"
"41533","Globert",2015,"Mixels","Series 4",45,NA,"http://images.brickset.com/sets/images/41533-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41534","Vampos",2015,"Mixels","Series 4",59,NA,"http://images.brickset.com/sets/images/41534-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41535","Boogly",2015,"Mixels","Series 4",52,NA,"http://images.brickset.com/sets/images/41535-1.jpg",2.99,4.99,5.99,2.79,"Foil pack","Retail"
"41536","Gox",2015,"Mixels","Series 5",62,NA,"http://images.brickset.com/sets/images/41536-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41537","Jinky",2015,"Mixels","Series 5",59,NA,"http://images.brickset.com/sets/images/41537-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41538","Kamzo",2015,"Mixels","Series 5",58,NA,"http://images.brickset.com/sets/images/41538-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41539","Krog",2015,"Mixels","Series 5",60,NA,"http://images.brickset.com/sets/images/41539-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41540","Chilbo",2015,"Mixels","Series 5",65,NA,"http://images.brickset.com/sets/images/41540-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41541","Snoof",2015,"Mixels","Series 5",54,NA,"http://images.brickset.com/sets/images/41541-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41542","Spugg",2015,"Mixels","Series 5",51,NA,"http://images.brickset.com/sets/images/41542-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41543","Turg",2015,"Mixels","Series 5",56,NA,"http://images.brickset.com/sets/images/41543-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41544","Tungster",2015,"Mixels","Series 5",60,NA,"http://images.brickset.com/sets/images/41544-1.jpg",2.99,4.99,5.99,3.99,"Foil pack","Retail"
"41545","Kramm",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41545-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41546","Forx",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41546-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41547","Wuzzo",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41547-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41548","Dribbal",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41548-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41549","Gurggle",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41549-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41550","Slusho",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41550-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41551","Snax",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41551-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41552","Berp",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41552-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"41553","Vaka-Waka",2015,"Mixels","Series 6",NA,NA,"http://images.brickset.com/sets/images/41553-1.jpg",NA,4.99,NA,NA,"Not specified","Not specified"
"42031","Cherry Picker",2015,"Technic","",155,NA,"http://images.brickset.com/sets/images/42031-1.jpg",7.99,12.99,14.99,9.99,"Box","Retail"
"42032","Compact Tracked Loader",2015,"Technic","",252,NA,"http://images.brickset.com/sets/images/42032-1.jpg",14.99,19.99,24.99,14.99,"Box","Retail"
"42033","Record Breaker",2015,"Technic","",125,NA,"http://images.brickset.com/sets/images/42033-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"42034","Quad Bike",2015,"Technic","",148,NA,"http://images.brickset.com/sets/images/42034-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"42035","Mining Truck",2015,"Technic","",362,NA,"http://images.brickset.com/sets/images/42035-1.jpg",24.99,29.99,39.99,24.99,"Box","Retail"
"42036","Street Motorcycle",2015,"Technic","",375,NA,"http://images.brickset.com/sets/images/42036-1.jpg",29.99,39.99,49.99,34.99,"Box","Retail"
"42037","Formula Off-Roader",2015,"Technic","",494,NA,"http://images.brickset.com/sets/images/42037-1.jpg",44.99,59.99,69.99,49.99,"Box","Retail"
"42038","Arctic Truck",2015,"Technic","",913,NA,"http://images.brickset.com/sets/images/42038-1.jpg",59.99,84.99,109.99,79.99,"Box","Retail"
"42039","24 Hours Race Car",2015,"Technic","",1219,NA,"http://images.brickset.com/sets/images/42039-1.jpg",99.99,129.99,159.99,99.99,"Box","Retail"
"42040","Fire Plane",2015,"Technic","",578,NA,"http://images.brickset.com/sets/images/42040-1.jpg",44.99,49.99,59.99,49.99,"Box","Retail"
